model,category,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
openai/gpt-5.4,01_information_intelligence_agent,14,90.37190476190476,626476,27949,2883200,0,3537625,22.69048571428571,0.7142857142857143,0.8571428571428571,0.775,0.9285714285714286,0.7142857142857143,0.7142857142857143,1.0
openai/gpt-5.4,02_content_creation_pipeline_agent,21,145.33150793650793,1764376,111884,9690752,0,11567012,39.7143,0.8412699047619048,0.9365079523809524,0.8888888571428571,0.9476190476190476,0.9523809523809523,0.6666666666666666,1.4285714285714286
openai/gpt-5.4,03_platform_automation_agent,21,120.51304761904761,1164600,80735,8245632,0,9490967,38.746028571428575,0.9206349523809524,1.0,0.9603174285714285,0.9666507936507936,0.9523809523809523,0.8571428571428571,1.1111111111111112
openai/gpt-5.4,04_personal_ai_second_brain_agent,21,95.05579365079365,676178,40428,4233344,0,4949950,20.17460476190476,0.5079364285714286,0.746031761904762,0.6269841904761905,0.8063492063492064,0.5714285714285714,0.23809523809523808,2.4
openai/gpt-5.4,05_self_healing_devops_agent,21,80.2443492063492,1065033,52542,3874432,0,4992007,20.809519047619048,0.6984127619047619,0.9682540000000001,0.8333332380952382,0.8095238095238095,0.7619047619047619,0.47619047619047616,1.6
openai/gpt-5.4-mini,01_information_intelligence_agent,14,66.20214285714286,410240,16740,2276864,0,2703844,16.738107142857142,0.7619047142857143,0.9047618571428571,0.8261904285714285,0.9404761904761905,0.8571428571428571,0.7142857142857143,1.2
openai/gpt-5.4-mini,02_content_creation_pipeline_agent,21,152.86596825396825,1790682,76347,10403328,0,12270357,36.01587619047619,0.5238095238095238,0.9523809523809523,0.7380952380952381,0.7880952380952382,0.6666666666666666,0.38095238095238093,1.75
openai/gpt-5.4-mini,03_platform_automation_agent,21,114.01469841269842,946245,61923,7831040,0,8839208,33.746028571428575,0.9047619523809525,0.9682539523809524,0.9365079047619047,0.9862222222222221,0.9523809523809523,0.7619047619047619,1.25
openai/gpt-5.4-mini,04_personal_ai_second_brain_agent,21,71.23850793650793,650648,31657,4154880,0,4837185,18.714290476190474,0.6507936666666667,0.7777777619047619,0.7142857142857143,0.8730158730158729,0.5238095238095238,0.5238095238095238,1.0
openai/gpt-5.4-mini,05_self_healing_devops_agent,21,93.32722222222222,773463,33524,4086272,0,4893259,18.809509523809524,0.6507936666666667,0.8253968571428572,0.7380951904761905,0.7682539682539682,0.7142857142857143,0.2857142857142857,2.5
volcengine/doubao-seed-2.0-pro,01_information_intelligence_agent,14,0.0,561134,23052,2825024,0,3409210,15.571428571428571,0.8095238571428572,0.952381,0.8702381428571428,0.9523809523809524,0.8571428571428571,0.7142857142857143,1.2
volcengine/doubao-seed-2.0-pro,02_content_creation_pipeline_agent,21,0.0,1515097,86396,13768120,0,15369613,34.73016190476191,0.6031745238095239,0.9047619047619048,0.7539682857142858,0.8563492063492064,0.8095238095238095,0.47619047619047616,1.7000000000000002
volcengine/doubao-seed-2.0-pro,03_platform_automation_agent,21,0.0,1022727,78036,12323664,0,13424427,33.07937142857143,0.9206349523809524,1.0,0.9603174285714285,0.9529047619047619,1.0,0.8095238095238095,1.2352941176470589
volcengine/doubao-seed-2.0-pro,04_personal_ai_second_brain_agent,21,0.0,724331,48270,5983032,0,6755633,18.73016666666667,0.6190476190476191,0.7777777619047619,0.6984127142857143,0.8730158730158729,0.5238095238095238,0.5238095238095238,1.0
volcengine/doubao-seed-2.0-pro,05_self_healing_devops_agent,21,0.0,1634996,65719,11050688,0,12751403,28.61904761904762,0.8888888571428571,0.9206349047619048,0.9047619523809525,0.9333333333333333,0.9047619047619048,0.7619047619047619,1.1875
z-ai/glm-5-turbo,01_information_intelligence_agent,14,125.50104761904763,72234,26771,4002895,0,4101900,19.380950000000002,0.7857142857142857,0.9285714285714286,0.8357142857142856,0.9464285714285714,0.8571428571428571,0.7142857142857143,1.2
